,receiver_id,receiver_x,receiver_y
1,2,719402.044861483,6273495.99569777
2,3,706472.134397108,6254001.13069367
3,4,709757.111649658,6267726.03565296
4,5,710347.107564119,6266961.04095031
5,7,708777.118435807,6269136.02588921
6,8,719902.041399162,6273230.9975328
7,9,706042.137374704,6254331.12840854
8,10,714522.078653737,6254876.12463461
9,11,707542.126987741,6267726.03565296
10,12,710077.109433772,6267321.03845744
11,14,703622.154132338,6266291.04558982
13,18,708607.119612997,6262276.07339226
14,20,702512.161818691,6264901.05521507
15,21,708742.11867817,6252851.13865701
16,23,702867.159360443,6265361.05202974
17,24,709147.11587369,6262466.07207658
18,25,698167.191906262,6269666.02221915
19,26,709277.114973486,6253116.13682198
20,27,704412.148661871,6250241.15673033
21,29,699612.181900154,6267556.03683015
22,30,707797.125221957,6252901.13831078
23,31,709792.111407295,6253276.13571404
24,33,707322.128511162,6253426.13467534
25,35,708592.119716866,6263286.06639837
26,36,709432.113900167,6255061.12335355
27,37,706902.131419512,6251796.14596251
28,38,707772.125395073,6261986.0754004
29,39,705332.1422912,6265211.05306843
